collected_at,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,id,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
20250602,0,"A soft, dimmable light, a discreet USB-C power bank, and a beautifully proportioned catch-all space | The upgrade that LOVINO needed",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1747229314,1073359210,SoldiDesign,https://www.kickstarter.com/profile/soldidesign,USD,0,1,0,126404046,0,IT,715496,Florence,Tuscany,Town,LOVINO PRO | Italian Designed 3-in-1 desk organizer,0,0,None,5185719,None,5185719,inactive,1747229314,https://www.kickstarter.com/projects/soldidesign/lovino-pro-egg-desk-organizer-soldi-design-power-bank,FALSE,FALSE,submitted,1747908046,0,None,None,international
20250602,0,Redefining how you cut avocados—move from the cutting board to a cutting guard right in your palm.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1741188426,360783278,march design,https://www.kickstarter.com/profile/marchdesign,USD,0,1,0,1172645440,0,US,12589335,Brooklyn,NY,County,Kado: Your Avocado Cutting Companion,0,0,None,5142747,None,5142747,inactive,1741188426,https://www.kickstarter.com/projects/marchdesign/kado-your-avocado-cutting-companion,FALSE,FALSE,submitted,1747151179,0,None,None,international
20250602,0,"Power up multiple devices simultaneously. Unleash the power of Qi2, 15W fast charging on the go.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1710729492,1521365564,BEZALEL,https://www.kickstarter.com/profile/bezalelinc,USD,0,1,0,1276887856,0,US,2442047,Los Angeles,CA,Town,Omnia X MagSafe: Charging the Future of In-Car Power!,0,0,None,4809387,None,4809387,inactive,1710729492,https://www.kickstarter.com/projects/bezalelinc/omnia-x-magsafe-charging-the-future-of-in-car-power,FALSE,FALSE,submitted,1710912007,0,None,None,international
20250602,0,"New 7-in-1 Ruyi 2.0, needle, pen, lighter, telescopic rod, touchscreen pen, safety hammer, utility knife, your life's right-hand man.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1722322898,1764204526,RU YI,https://www.kickstarter.com/profile/ru-yi,USD,0,1,1000,1708773741,0,US,12589335,Brooklyn,NY,County,Ruyi Stick 2.0 (Suspended),0,0,None,4964509,None,4964509,inactive,1722322898,https://www.kickstarter.com/projects/ru-yi/ruyi-stick-20,FALSE,FALSE,suspended,1723058091,0,None,None,international
20250602,0,"Minimalist sleeping bag, Warm poncho, Hammock underquilt.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,FR,1748512491,1852252546,Trail Hoppers,https://www.kickstarter.com/profile/trailhoppers,EUR,0,1.13619966,0,1244765930,0,FR,584008,Chambery,Rhone-Alpes,Town,The 3-in-1 Quilt: Wearable Warmth For All Adventures,0,0,None,5194909,None,5194909,inactive,1748512491,https://www.kickstarter.com/projects/trailhoppers/the-3-in-1-quilt-wearable-warmth-for-all-adventures,FALSE,FALSE,submitted,1748570369,0,None,None,international
20250602,0,"Light weight and holding 80X it’s weight, Cord Mate PRO shows impressive versatility while being used commercially and residentially.",52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,None,US,1747317325,1082605543,GM Innovations,https://www.kickstarter.com/profile/gminnovations,USD,0,1,0,1568598281,0,US,2358820,Baltimore,MD,Town,Professional Cord & Tool Holder - Cord Mate PRO,0,0,None,5186404,None,5186404,inactive,1747317325,https://www.kickstarter.com/projects/gminnovations/professional-cord-and-tool-holder-cord-mate-pro,FALSE,FALSE,submitted,1747325011,0,None,None,international
20250602,0,Rear Camera Selfies | Wireless Screen Mirroring | Strong MagSafe Attachment | 90° Rotation&Mirror Mode | Adjustable Brightness | 3h,337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,None,US,1742915424,1261986909,Fotogear,https://www.kickstarter.com/profile/1261986909,USD,0,1,0,687771544,0,US,2357473,Aurora,CO,Town,Fotogear: MagSafe Wireless Display for Pro Selfies&Streaming,0,0,None,5154783,None,5154783,inactive,1742915424,https://www.kickstarter.com/projects/1261986909/fotogear-magsafe-wireless-display-for-pro-selfiesandstreaming,FALSE,FALSE,submitted,1742950368,0,None,None,international
20250602,0,Because loving yourself begins with listening to your emotions — A deck to accompany you through the dark nights.,332,Apps,16,Technology,http://www.kickstarter.com/discover/categories/technology/apps,None,HK,1745739015,385207321,Ineta Fuige,https://www.kickstarter.com/profile/inetafuige,HKD,0,0.12752914,0,785187489,0,HK,2165352,Hong Kong,Hong Kong Island,Town,《Spiritual Flow: The Laws of Animals》|A Journey from Emotion,0,0,None,5175438,None,5175438,inactive,1745739015,https://www.kickstarter.com/projects/inetafuige/spiritual-flow-the-laws-of-animals-a-journey-from-emotion,FALSE,FALSE,submitted,1746674514,0,None,None,international
20250602,0,"Plug Into Your Phone,Home Socket&Power Bank|Instant Air Quality Monitoring|Real-Time Alerts|Compact&Lightweight|Data at Your Fingertips",337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,None,HK,1741568702,1324555962,InstanSense,https://www.kickstarter.com/profile/instansense,HKD,0,0.12752914,0,361611318,0,HK,2165352,Hong Kong,Hong Kong Island,Town,Just Plug In: InstanSense - Instant Air Quality Monitor,0,0,None,5145336,None,5145336,inactive,1741568702,https://www.kickstarter.com/projects/instansense/just-plug-in-instansense-instant-air-quality-monitor,FALSE,FALSE,submitted,1742955104,0,None,None,international
20250602,0,"AirPoint® is a dual mode air and surface mouse. Ideal for home office and presentations, the wearable Ring elevates mouse experience.",52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,None,US,1667453463,1427607753,Magnima,https://www.kickstarter.com/profile/magnima,USD,0,1,0,1655563486,0,US,2442047,Los Angeles,CA,Town,AirPoint® Mouse: Wearable Wireless Ring & Desktop mouse,0,0,None,4503204,None,4503204,inactive,1667453463,https://www.kickstarter.com/projects/magnima/airpoint-mouse-wearable-wireless-ring-and-desktop-mouse,FALSE,FALSE,submitted,1671219706,0,None,None,international
